id_num,id,label_id
0,fvhhfwe,-1
1,fvhhjhk,-1
2,fvhjh7h,-1
3,fvhjz5w,-1
4,fvho5lv,-1
5,fvhohfa,-1
6,fvhowil,-1
7,fvhr0ns,-1
8,fvhsfn7,-1
9,fvi0ldy,-1
10,fvi2cnt,-1
11,fvi41yy,-1
12,fvib1do,-1
13,fvidkmj,-1
14,fvidzog,-1
15,fvigeug,-1
16,fvigh87,-1
17,fvigkis,-1
18,fvio3sp,0
19,fviodq1,-1
20,fviqspi,-1
21,fvjih92,5
22,fvjktfw,-1
23,fvjllhr,-1
24,fvjluxz,-1
25,fvjrndb,-1
26,fvjrxek,-1
27,fvjtdem,-1
28,fvjutid,-1
29,fvk2f0b,-1
30,fvk65wn,-1
31,fvk9eti,-1
32,fvk9v81,-1
33,fvka42u,-1
34,fvka5p8,-1
35,fvkb7cy,-1
36,fvkcb7j,-1
37,fvke8b7,-1
38,fvkecrr,-1
39,fvkephk,-1
40,fvkg7wx,-1
41,fvkk6um,-1
42,fvkl61t,-1
43,fvkmiwm,-1
44,fvkv49n,-1
45,fvkyal5,-1
46,fvkyw48,4
47,fvkyzhl,-1
48,fvlajg8,-1
49,fvlax1t,-1
50,fvlb3h6,-1
51,fvlixob,-1
52,fvm0dax,-1
53,fvm35gb,-1
54,fvmk18a,-1
55,fvmnyyq,-1
56,fvmyp63,-1
57,fvmz495,-1
58,fvn5eo8,-1
59,fvn5zz1,-1
60,fvn8t3n,-1
61,fvn8zy2,-1
62,fvn9xvv,-1
63,fvnfep5,-1
64,fvnhx5c,-1
65,fvnismg,-1
66,fvnjbca,-1
67,fvnlnmh,-1
68,fvno6a6,-1
69,fvnpte2,-1
70,fvnsh67,-1
71,fvntc7i,4
72,fvntncs,-1
73,fvntpc5,-1
74,fvntut5,-1
75,fvnu1iq,-1
76,fvo2w6d,-1
77,fvo4mjd,-1
78,fvo807j,-1
79,fvokntp,-1
80,fvol15h,-1
81,fvos5ff,-1
82,fvotdq6,-1
83,fvottzt,-1
84,fvouuc8,-1
85,fvow2d3,-1
86,fvp2cu4,-1
87,fvp62ds,-1
88,fvpq2gj,-1
89,fvps4wm,-1
90,fvpsd6a,-1
91,fvq1t2b,-1
92,fvq5d27,-1
93,fvq6jof,4
94,fvq7mff,-1
95,fvq7vjb,-1
96,fvqekf4,-1
97,fvqmzo1,-1
98,fvr42a8,-1
99,fvr4cto,-1
100,fvvs2t1,-1
101,fvvv2wa,-1
102,fvvvfu6,-1
103,fvvx0ak,-1
104,fvvybbu,2
105,fvvyzl9,-1
106,fvvzuee,-1
107,fvw0nft,-1
108,fvwf3o2,-1
109,fvwi2z6,-1
110,fvwi4e2,-1
111,fvwkrat,-1
112,fvwpwj5,-1
113,fvwqy89,-1
114,fvwru3b,-1
115,fvwryxs,-1
116,fvwwbx9,-1
117,fvx1ra4,-1
118,fvxgn9c,-1
119,fvxk2s1,-1
120,fvxsfqa,-1
121,fvxsgnz,-1
122,fvxtv4f,-1
123,fvxvm90,-1
124,fvy0o28,-1
125,fvy4g3k,-1
126,fw1eak8,-1
127,fw74p79,-1
128,fw8bamq,-1
129,fw8w2wm,-1
130,fwhbkqn,-1
131,fwkl957,-1
132,fwkl9t4,-1
133,fwkn0j7,-1
134,fwkoikn,-1
135,fwkoxmq,-1
136,fwkozh1,0
137,fwkp024,-1
138,fwkp4dz,-1
139,fwkq4nu,-1
140,fwkrmmn,-1
141,fwkrveb,-1
142,fwku60i,-1
143,fwkxh6m,-1
144,fwl0xra,-1
145,fwl0yyu,-1
146,fwl71rb,-1
147,fwl8m5w,-1
148,fwlbdwi,-1
149,fwlhp56,-1
150,fwllalc,-1
151,fwlnd8n,-1
152,fwlnzkh,-1
153,fwlstvg,-1
154,fwltc94,-1
155,fwltjsv,-1
156,fwltn6d,-1
157,fwltp2k,-1
158,fwluerx,-1
159,fwlui6n,-1
160,fwlul4z,-1
161,fwm2i9v,-1
162,fwm9t9e,-1
163,fwm9wz1,-1
164,fwmanim,-1
165,fwmb4cf,-1
166,fwmopat,-1
167,fwn2qgh,-1
168,fww94gm,-1
169,fwwlix0,-1
170,fwwlnds,-1
171,fxohboe,-1
