id_num,id,label_id
0,f8c6ti4,-1
1,f8dnilx,-1
2,f8dnsqi,-1
3,f8ezj62,-1
4,f8fozcw,-1
5,f8grc7p,0
6,f8iaxfv,-1
7,f92xvoh,-1
8,f92zz3j,-1
9,f9410cq,-1
10,f94atu5,-1
11,f9ebdql,0
12,f9elifk,-1
13,f9enf87,0
14,f9f4vtq,-1
15,f9fl7t9,1
16,f9flk4t,-1
17,f9flu55,-1
18,f9fmj0a,-1
19,f9fmkfe,0
20,f9fnk8q,-1
21,f9fu69s,-1
22,f9hg74p,-1
23,f9hncrw,-1
24,f9j22ke,-1
25,f9j5djz,-1
26,f9j5rzz,-1
27,fa19ea2,-1
28,fa1a6lu,-1
29,fa1v7y2,4
30,fanxc25,-1
31,fanyqbp,1
32,fao03j8,-1
33,fao1ad1,-1
34,fao1ph7,-1
35,fao69vo,-1
36,fao920f,-1
37,faoa48a,-1
38,faoalsv,-1
39,faobbrc,-1
40,faoc973,-1
41,fat9l4n,-1
42,fblu8pw,1
43,fblv7ie,-1
44,fbmz27v,-1
45,fbn0df4,0
46,fbni2ew,-1
47,fbniabv,0
48,fbnneol,-1
49,fbnpoc6,-1
50,fbodyni,-1
51,fbp4s4l,-1
52,fbqkda9,0
53,fbqmans,-1
54,fbqqpkp,1
55,fbqsmqu,2
56,fbr4g16,0
57,fbr6571,0
58,fbrmn1r,-1
59,fbs78ww,0
60,fbs8nhp,-1
61,fbsif8j,-1
62,fbtt3y4,-1
63,fdj6nb6,-1
64,fdj6qfg,-1
65,fdj8awi,-1
66,fdj8dsj,-1
67,fdj9dcf,-1
68,fdjp5x3,-1
69,feefqdi,-1
70,feeft3m,-1
71,feeh1rf,-1
72,feei1bx,-1
73,feel26u,5
74,feel5mp,-1
75,feenjyk,-1
76,feeo6dz,-1
77,feeoax1,2
78,feetkv0,-1
79,feeu8xb,4
80,feeubbw,-1
81,feevjez,-1
82,feevnxy,-1
83,feew0w1,-1
84,feez1pu,-1
85,feezfcz,-1
86,feezygg,-1
87,fef05g5,1
88,fef0lmj,-1
89,fef2fm4,-1
90,fef91fe,-1
91,fefeeyf,-1
92,fefej36,-1
93,fefi7e3,-1
94,fefio39,-1
95,fefiq1r,-1
96,fefophk,5
97,fefozpa,1
98,fefr81w,-1
99,fefsbz3,1
100,fefsqrd,3
101,feg6cxb,-1
102,fegb8z9,-1
103,feghul5,-1
104,fegklck,-1
105,fegl8g8,4
106,feglc63,3
107,fegm85t,0
108,fegmlxn,0
109,fegu2kp,-1
110,fegu7bs,-1
111,fegubf1,-1
112,fegufhe,-1
113,fegvx6n,-1
114,fegxvc3,-1
115,fegy876,-1
116,fegya0q,-1
117,feh0jvt,-1
118,feh0pfo,-1
119,feh2hal,-1
120,feh2lqb,-1
121,fehea75,-1
122,fehfckz,-1
123,fehqy4f,-1
124,fehr617,-1
125,fehsfws,-1
126,fehszgt,-1
127,fehtaew,-1
128,fehu9jc,-1
129,fehvqgh,-1
130,fei2bvn,-1
131,fei2jzr,-1
132,fei302w,-1
133,fei3562,-1
134,fei3etx,-1
135,feig426,-1
136,femf9u3,-1
137,femqe38,-1
138,fqgzp6n,-1
139,fqh6n09,-1
140,fqha7pr,-1
141,fqhb8s3,-1
142,fqhbscl,-1
143,fqhjp47,0
144,fqhnjc1,-1
145,fqjijir,0
146,fqjjavh,0
147,fqjkis4,-1
148,fqldzpk,-1
149,fqlr51j,-1
150,fqm4cfv,-1
151,fr9j691,-1
152,fr9qv3j,0
153,fr9rkos,-1
154,fr9sqxl,-1
155,fr9vgn9,-1
156,frlrldp,-1
157,frluyfs,-1
158,frlyw9o,-1
159,frlz4n1,-1
160,frm0dm5,-1
161,frm0g83,-1
162,frm105v,-1
163,frmaqna,-1
164,frmbsia,-1
165,frmdtav,-1
166,frmegpx,-1
167,frmfm8z,-1
168,frmid1f,-1
169,frmkius,-1
170,froi49d,-1
171,frokba1,-1
172,frolimy,-1
173,frp8l67,-1
174,frpb3g6,1
175,frrlpa4,-1
176,frrpkoh,-1
177,frsoi8q,-1
178,fsl7bj6,-1
179,fslzuod,-1
180,fxxrfdq,-1
181,fy1u9qp,-1
182,fy2e2j5,-1
183,fy2sxlg,-1
184,fy377eo,-1
185,fy3aa5t,-1
186,fy3avzw,-1
187,fy3cxjg,-1
188,fy3eneu,-1
189,fy3jr5z,-1
190,fy3p45g,-1
191,fy3yvb0,-1
192,fy4248t,-1
193,fy428z0,-1
194,fy42ser,-1
195,fy42z73,-1
196,fy43zbp,0
197,fy4ft3r,-1
198,fy4tafu,-1
199,fy4uw4g,-1
200,fy4vlyy,4
201,fy4w2ia,-1
202,fy4ygo8,-1
203,fy53k07,-1
204,fy9d42a,-1
205,i6vtjc6,-1
