id_num,id,label_id
0,f8t6fs0,-1
1,f8t7r9d,0
2,f8texzc,-1
3,f9ijim1,-1
4,fa59lpr,-1
5,fa7un34,1
6,fawek9u,-1
7,fbajfuc,-1
8,fbb0opj,-1
9,fbbeo4d,-1
10,fbf9at4,-1
11,fbffcij,-1
12,fbfxf2f,-1
13,fc1dtxt,-1
14,fc65235,0
15,fda2v0s,-1
16,feisxdk,0
17,fejke1j,-1
18,feka1ro,-1
19,fjj886y,-1
20,fjjjol0,-1
21,fjng9wn,0
22,fjz3v6q,0
23,fjz4whs,-1
24,fjz69f9,-1
25,fjz6hlo,-1
26,fk10cff,-1
27,fkfflc7,-1
28,fmbkmnl,-1
29,fo6smtd,-1
30,fo6spxw,-1
31,fo6upvi,-1
32,fo70h9d,-1
33,fo897u9,1
34,fo89h1p,3
35,fo89oig,3
36,fo8rt6j,-1
37,fo9grip,-1
38,foaibdk,-1
39,foe48z2,1
40,fooqerm,-1
41,fov0ed1,-1
42,fovxg74,-1
43,fqdymw6,-1
44,frr1bjo,-1
45,frrahbh,-1
46,frrdru8,-1
47,frrh4og,-1
48,frrlkih,-1
49,frrnlfb,-1
50,frro55z,-1
51,frs0zma,-1
52,fs1urpm,-1
53,fs1vq3l,-1
54,fsae93a,-1
55,ft85t9c,-1
56,ft87ga9,-1
57,ft8mor7,-1
58,ft8xg2m,-1
59,fuy805g,-1
