id_num,id,label_id
0,fbehxio,1
1,fbejo6d,2
2,fbemqyc,1
3,fben3wr,1
4,fbeok1d,3
5,fbepcrz,0
6,fbew0jc,0
7,fbewfv7,0
8,fbewyz9,0
9,fbey1h5,2
10,fbfr7yr,0
11,fbfxpc9,1
12,fbg6s30,0
13,fbg7g43,1
14,fbgjexk,4
15,fbgsthl,1
16,fbgt2yu,1
17,fbgt81f,1
18,fbgtc5m,3
19,fbguv2w,2
20,fbguwjd,3
21,fdeae8p,-1
22,fdeav4l,0
23,fdeb2yh,-1
24,fdebdsf,-1
25,fdebdtl,0
26,fdebjb6,-1
27,fdebms5,-1
28,fdebx80,-1
29,fdee0kp,-1
30,fdeez5t,0
31,fdeicew,-1
32,fdem110,-1
33,fdennyo,-1
34,fdepyle,-1
35,fderyz2,-1
36,fdesb2k,-1
37,fdf3he5,-1
38,fdfevpz,-1
39,fdffo5o,-1
40,fdffvno,-1
41,fdfrkbl,1
42,fdfrnlf,0
43,fdftyp9,-1
44,fdg6hit,4
45,fdh2ao7,-1
46,fdh62vn,-1
47,fdhpxbz,3
48,fdi7rkc,-1
49,fdi8d7g,-1
50,fdiadgv,-1
51,fdsbhi6,-1
52,fdussy3,2
53,fdxh34d,2
54,fdxn6cs,5
55,fdxs70j,3
56,fdxxxuo,4
57,fdyrvu1,1
58,fe8f33y,0
59,fe8g0mj,-1
60,fe8jkfj,1
61,fe9lauu,0
62,feaqa72,-1
63,fec3jyw,3
64,fec5ilj,3
65,fecc8gb,1
66,fecd5nw,-1
67,fecezfi,3
68,frgijsz,-1
69,frgunep,-1
70,frihqba,-1
71,frspdla,3
72,frsqs09,1
73,frsr1eh,0
74,frsrdfh,4
75,frsrfbw,0
76,frsrnu6,1
77,frsrtft,3
78,frss3t6,0
79,frst10i,-1
80,frsu8ai,3
81,frsuebn,0
82,frsuye5,0
83,frsvfwh,-1
84,frt9pu7,2
85,frt9trk,0
86,frtkq8f,0
87,frtps9n,1
88,frtrg5f,-1
89,frtroit,0
90,frtuw3m,-1
91,frtxp0e,-1
92,frtz08y,-1
93,frtze47,0
94,fru1dqn,-1
95,fru1h7e,0
96,frv7aog,4
97,frve0pm,1
98,frvf9jd,5
99,frvfmci,0
100,frvj8ow,0
101,frvlhu5,0
102,frvmwnr,-1
103,frvnz3n,-1
104,frvomzd,-1
105,frvq4gx,-1
106,frvuieg,-1
107,frwawzx,-1
108,frwe3od,-1
109,frwg4hw,-1
110,fsv3dwx,2
111,ftbdfz7,1
112,ftbmoe7,-1
113,ftbn05m,1
114,ftbnndc,-1
115,ftbokss,-1
116,ftbp1vp,-1
117,ftbs5bm,-1
118,ftbt582,-1
119,ftbvqwq,-1
120,ftbw52h,-1
121,ftc3jjd,-1
122,ftc6r3m,-1
123,ftcexpw,-1
124,ftiq7ol,-1
125,ftixt2q,-1
126,ftizvee,-1
127,ftklwyz,-1
128,ftkv0xc,-1
129,ftkz44o,-1
130,ftl0hrv,-1
131,ftl6zls,0
132,ftl7ph8,-1
133,ftl8a29,-1
134,ftl9erk,-1
135,ftletjl,-1
136,ftlhrfr,-1
137,ftllkda,-1
138,ftlmdxb,-1
139,ftloijs,3
140,ftlpnvg,-1
141,ftlpyym,1
142,ftlt9qk,-1
143,ftm0ms7,-1
144,ftmmws2,1
145,ftmq4ne,3
146,ftmtnus,3
147,ftngsxx,-1
148,fto0vz6,-1
149,fto68ag,-1
150,ftp12gf,-1
151,ftpiqke,1
152,ftpk14a,-1
153,ftplcho,-1
154,ftpn7d3,-1
155,ftppl1x,-1
156,ftpwir7,-1
157,ftqpphi,-1
158,ftqqyz9,-1
159,fukr5bs,1
160,fupwapl,2
161,fuq40r8,0
162,fuq6ap5,1
163,fuq6nod,0
164,fuqc9ke,1
165,fuqj7di,0
166,fuqkwqv,1
167,fuqn3ir,0
168,fuqoov0,3
169,fuqq398,1
170,fur07tl,-1
171,fur1l43,-1
172,fur9o7g,0
173,fur9oc7,-1
174,furakn8,1
175,furboop,0
176,furfun1,0
177,fv3zgb9,-1
178,fv46eeq,-1
179,fv475ff,-1
180,fv4hxis,-1
181,fv4rhv4,0
182,fv4rs2t,-1
183,fv4s7zl,-1
184,fv4wb9a,-1
185,fv4wmvb,-1
186,fv532ep,-1
187,fv5vxl6,-1
188,fv6qic4,-1
189,fv7i329,-1
190,fv8zi3b,-1
191,fva32fj,-1
192,fva4b6x,0
193,fva7n8a,-1
194,fvbdznk,-1
195,fvg8n9h,0
196,fvg8txh,1
197,fvg9n3q,0
198,fvgray4,2
199,fvgv5gc,1
200,fvhg577,0
201,fvhiov0,0
202,fvhjl05,1
203,fvhjmuh,1
204,fvlxlcp,-1
205,fvoxtd3,1
206,fvph4iu,-1
207,fvuo6cs,-1
208,fw718r8,-1
