id_num,id,label_id
0,fvgwuac,-1
1,fvh00rv,-1
2,fvh1kox,-1
3,fvh2gpp,-1
4,fvh2xuu,-1
5,fvh3glm,-1
6,fvh3uz9,-1
7,fvh4f78,0
8,fvh4k4l,0
9,fvh4tg1,-1
10,fvh54cx,-1
11,fvh5rta,-1
12,fvh5t8r,-1
13,fvh601k,-1
14,fvh6a26,-1
15,fvh6o3n,-1
16,fvh6tyb,-1
17,fvh78rd,-1
18,fvh7dhv,-1
19,fvh7iy7,-1
20,fvh7qdk,-1
21,fvh7vvf,-1
22,fvh7x9w,-1
23,fvh883b,-1
24,fvh8q9i,0
25,fvh95oy,-1
26,fvh9j7c,-1
27,fvh9vqx,-1
28,fvha3gv,-1
29,fvha4qm,-1
30,fvhabmb,-1
31,fvhaond,-1
32,fvhatc7,-1
33,fvhaxmu,-1
34,fvhb0qi,-1
35,fvhb4cy,-1
36,fvhbdyi,-1
37,fvhcfqf,1
38,fvhcsbj,-1
39,fvhcwos,-1
40,fvhcxsm,-1
41,fvhd9ou,-1
42,fvheyy6,-1
43,fvhf0c6,-1
44,fvhf0qw,-1
45,fvhf6ow,-1
46,fvhfljy,-1
47,fvhfuls,-1
48,fvhfz3s,-1
49,fvhgc8g,-1
50,fvhgjl9,-1
51,fvhgq2w,-1
52,fvhgqov,-1
53,fvhgu9m,-1
54,fvhgw13,-1
55,fvhgyru,-1
56,fvhhsij,-1
57,fvhhztr,-1
58,fvhi6d2,-1
59,fvhir7p,-1
60,fvhit5a,-1
61,fvhiyln,-1
62,fvhizag,-1
63,fvhj1iu,-1
64,fvhjwgc,-1
65,fvhjwuq,-1
66,fvhk5eb,-1
67,fvhkles,-1
68,fvhkmuq,-1
69,fvhknq0,-1
70,fvhkrko,-1
71,fvhl05n,-1
72,fvhl077,-1
73,fvhl3oj,-1
74,fvhl6fs,-1
75,fvhlaox,-1
76,fvhm3n1,-1
77,fvhmbwv,-1
78,fvhmfjg,-1
79,fvhmo5m,-1
80,fvhn8u6,-1
81,fvhn9gz,-1
82,fvhnekq,-1
83,fvho064,-1
84,fvho0cv,-1
85,fvhofw2,-1
86,fvhog30,-1
87,fvhohq1,-1
88,fvhoks9,-1
89,fvhot9z,-1
90,fvhp168,-1
91,fvhphrf,-1
92,fvhpv7y,-1
93,fvhpzfj,-1
94,fvhq6nb,-1
95,fvhq78x,-1
96,fvhqdm2,-1
97,fvhqhej,-1
98,fvhr34u,-1
99,fvhr55m,-1
100,fvhrbvd,-1
101,fvhrglp,-1
102,fvhrrj3,-1
103,fvhrwgm,-1
104,fvhs49n,-1
105,fvhscbj,-1
106,fvhse0t,-1
107,fvhsfq4,-1
108,fvhsmmn,-1
109,fvhsyyc,-1
110,fvht2u3,-1
111,fvht7cf,-1
112,fvhtily,-1
113,fvhtkl7,-1
114,fvhtr6z,-1
115,fvhtxvt,-1
116,fvhu1ag,-1
117,fvhu1s8,-1
118,fvhu6ob,-1
119,fvhu9dp,-1
120,fvhumuz,-1
121,fvhutej,-1
122,fvhv0jd,-1
123,fvhv1rd,0
124,fvhv642,-1
125,fvhva8i,-1
126,fvhwfmw,-1
127,fvhwnzt,-1
128,fvhwqmd,-1
129,fvhwyej,-1
130,fvhxi5x,-1
131,fvhxlyy,-1
132,fvhxpaq,-1
133,fvhxqpr,-1
