id_num,id,label_id
0,fdpq6k2,-1
1,fdpqhrc,-1
2,fdpr8zw,-1
3,fdproxj,-1
4,fdprvgl,-1
5,fdprz80,-1
6,fdpsgax,-1
7,fdpzcv1,-1
8,fdpzlyi,-1
9,fdq2a5d,-1
10,fdq4bai,-1
11,fdq9gcb,-1
12,fdqaybg,-1
13,fdqcfmd,4
14,fdqeeg3,4
15,fdqiyvl,-1
16,fdqj5e0,-1
17,fdqj928,-1
18,fdqjesz,-1
19,fdqji3n,-1
20,fdqjk6s,-1
21,fdqjp74,-1
22,fdqjv80,-1
23,fdqkd7p,0
24,fdqkwgk,2
25,fdql7oc,-1
26,fdqncgq,-1
27,fdqni2p,1
28,fdqnj6s,-1
29,fdqnl12,-1
30,fdqno37,-1
31,fdqnr5r,-1
32,fdqnrjt,2
33,fdqo3c0,-1
34,fdqo9hr,-1
35,fdqohn9,0
36,fdqoy4k,-1
37,fdqp5kv,-1
38,fdqpzz7,-1
39,fdqrtdm,-1
40,fdqsp45,-1
41,fdqtwvm,-1
42,fdqvvm0,-1
43,fdqxom2,-1
44,fdqyhg7,-1
45,fdqys9w,-1
46,fdqzfll,-1
47,fdqzqjo,-1
48,fdqzrgd,-1
49,fdqzw51,-1
50,fdqzxi0,-1
51,fdr0jm2,-1
52,fdr0r3q,-1
53,fdr0tkz,-1
54,fdr194l,-1
55,fdr2az5,-1
56,fdr348l,-1
57,fdr3kfx,-1
58,fdr5dfg,-1
59,fdr64cx,-1
60,fdr6ldo,-1
61,fdr6w5e,-1
62,fdr72iy,-1
63,fdrdamw,-1
64,fdrmode,-1
65,fdrog73,-1
66,fdrouv2,-1
67,fdrt9yl,-1
68,fdrub36,-1
69,fdrxqns,-1
70,fdry7po,0
71,fdsik6v,-1
72,fdsiqrn,-1
73,fdsssem,-1
74,fdtbf7w,-1
75,fdtc829,-1
76,fdtcoim,-1
77,fdtcu8c,4
78,fdtd4dg,-1
79,fdtib83,-1
80,fdtij5g,-1
81,fdtiqgm,-1
82,fdtitv7,-1
83,fdtj3ks,-1
84,fdtj8ye,-1
85,fdtjjl7,-1
86,fdtjn44,-1
87,fdtk4v8,-1
88,fdtkho7,-1
89,fdtkm8s,-1
90,fdtkoqb,4
91,fdtkvt2,-1
92,fdtl2pl,-1
93,fdtloih,-1
94,fdtlz7b,-1
95,fdtlzvz,-1
96,fdtmca0,-1
97,fdtmr75,-1
98,fdtslil,-1
99,fdtvrga,5
100,fdtw6mr,-1
101,fdtwkf9,-1
102,fdv7ldo,-1
103,fdv8ckv,-1
104,fdvb6y6,-1
105,fdve3cf,-1
106,fdveplv,-1
107,fdvgzhg,-1
108,fdvha9b,-1
109,fdvqh4b,0
110,fdvw5qa,-1
111,fdvwni4,-1
112,fdvxly4,-1
113,fdwk1ip,-1
114,fdwxf9p,-1
115,fdx0b8s,0
116,fdxcy14,-1
117,fdxg7ph,-1
118,fdxpd4y,-1
119,fdxutyl,-1
120,fdy0oyg,-1
121,fdy5adn,-1
122,fdy969v,-1
123,fdyiq80,-1
124,fdylf1p,0
125,fdyum1m,-1
126,fdz9odv,-1
127,fdza1ro,-1
128,fdzcn4w,-1
129,fdzpzz7,-1
130,fdzrdd0,-1
131,fdzs36k,-1
132,fdzs7nj,-1
133,fe09jer,-1
134,fe21xla,-1
135,fe5pqpy,-1
136,fe5um72,4
137,fe5unq2,-1
138,fe5use3,-1
139,fe5v4x6,-1
140,fe5wl2z,-1
141,fe5wqgo,-1
142,fe5xmzj,-1
143,fe5xoj7,-1
144,fe5xw8b,-1
145,fe5y07b,-1
146,fe5y7dd,-1
147,fe5yetm,-1
148,fe603aw,-1
149,fe60r7z,-1
150,fe612x8,-1
151,fe614rs,-1
152,fe615pb,-1
153,fe61rbz,-1
154,fe62024,-1
155,fe62of8,-1
156,fe62rzl,-1
157,fe634s6,-1
158,fe69qln,-1
159,fe69v7w,-1
160,fe6cyyf,-1
161,fe6dh97,-1
162,fe6gza4,-1
163,fe6h41a,-1
164,fe6hc7a,-1
165,fe6hrrz,-1
166,fe6j83i,-1
167,fe6jpws,-1
168,fe6k5z0,-1
169,fe6k7j7,-1
170,fe6keyp,-1
171,fe6ksal,-1
172,fe6kygx,-1
173,fe6l5pq,-1
174,fe6lko7,1
175,fe6lrny,-1
176,fe6lt4x,-1
177,fe6lysj,-1
178,fe6n1lc,-1
